AMA_ER,IMF_ER,Population,GNI_PC,ISIS_A-B,ISIC_F,EGS,FCE,GG_FCE,GCF,GFCF,HCE,IGS,ISIC_D,ISIC_C-E,ISIC_J-P,TVA,ISIC_I,ISIC_G-H,GNI,GDP,SAT,year,pf_rol,pf_ss,pf_movement,pf_religion,pf_association,pf_expression,pf_identity,ef_government,ef_legal,ef_money,ef_trade,ef_regulation
110.89593807272728,110.89593807272728,2885273.272727273,4573.818181818182,2506484774.5454545,1303331522.7272727,3799334051.909091,11994634722.09091,1487158217.5454545,3455212654.5454545,3303042720.4545455,10507476504.363636,6053902120.454545,748079731.5454545,1588378506.090909,3571583680.5454545,11518257826.454546,844476472.4545455,1704002870.3636363,13192895593.727272,13190933227.90909,353.9386025326699,2014.0,4.955555555555556,8.944444444444445,7.977777777777778,9.088888888888889,8.61111111111111,9.11111111111111,7.466666666666667,7.8999999999999995,5.211111111111111,9.677777777777777,7.699999999999999,7.544444444444445
97.14899242727273,97.14899242727273,39593119.27272727,4520.181818181818,19243922699.636364,18731248527.545456,51910937415.454544,104283892710.81818,34962213736.454544,80386924302.54546,67158271256.72727,69219726505.09091,56263847217.181816,7395876808.090909,56011224327.545456,40247060335.0,174181818181.81818,16689436405.09091,23311966974.909092,177454545454.54544,180272727272.72726,214.92367737216347,2014.0,4.166666666666667,7.833333333333333,4.988888888888889,4.177777777777778,4.377777777777777,7.955555555555555,1.011111111111111,3.9777777777777774,4.222222222222222,7.433333333333334,4.277777777777778,5.411111111111111
192.88204923636366,192.88204923636366,28239420.818181816,3634.090909090909,8444055874.363636,12225748300.454546,47165510651.72727,66250509456.36364,16846965101.0,27666935544.636364,26581865739.909092,49403544355.27273,33372357725.909092,6103534604.818182,40320850255.181816,21876230859.636364,108358156468.0,4695329082.818182,20747583285.272728,100465484349.0,107705209341.90909,336.00848484848484,2014.0,3.488888888888889,8.155555555555557,5.177777777777778,6.744444444444444,4.944444444444445,7.2444444444444445,5.566666666666666,6.355555555555556,3.4777777777777774,6.022222222222222,4.866666666666666,5.333333333333333
1.2171206521818183,1.2171206521818183,9819970.090909092,5405.636363636364,3054656805.909091,5407202853.636364,26647828839.0,32918510234.909092,6261933160.272727,12915643756.727272,12901863445.0,26656577074.363636,16972915657.454546,2579480545.0,24101204245.545456,8854665049.636364,51149859253.09091,4042304277.5454545,5689826021.090909,52759656823.63636,55248051385.90909,367.53700552713076,2014.0,4.188888888888888,9.077777777777778,5.9222222222222225,5.077777777777778,3.9777777777777774,5.533333333333333,7.466666666666667,4.977777777777778,4.977777777777778,6.988888888888889,6.855555555555556,6.977777777777778
19.401283209363637,19.401283209363637,43178238.27272727,12180.272727272728,32627723073.0,23401312017.0,79647274418.18182,444636363636.36365,90442783085.27272,91242369367.09091,83619422918.63637,354090909090.9091,77771484857.63637,76576089429.72728,103048189224.63637,181454545454.54544,451636363636.36365,30200339498.18182,80957660286.45454,525000000000.0,538454545454.5455,328.87862238478954,2014.0,5.433333333333334,8.844444444444445,10.0,8.555555555555555,8.744444444444445,9.288888888888888,10.0,6.044444444444444,4.511111111111111,6.122222222222222,5.022222222222222,5.688888888888889
1.216517839181818,1.216517839181818,23845414.0,58357.27272727273,32890906609.727272,109466938763.18182,306727272727.2727,1056000000000.0,281727272727.2727,360363636363.63635,359090909090.9091,773909090909.091,297727272727.2727,88355920903.09091,245545454545.45456,690090909090.909,1332727272727.2727,102832398614.81818,150909090909.0909,1388181818181.818,1424545454545.4546,2348.6964777911535,2014.0,7.800000000000001,9.866666666666667,10.0,9.077777777777778,9.4,9.744444444444444,9.555555555555555,6.977777777777778,7.888888888888889,9.466666666666667,7.7333333333333325,8.544444444444444
0.8241853313636363,0.8241853313636363,8637627.727272727,48750.0,5049060839.727273,24287671303.090908,225636363636.36365,305181818181.8182,83754820445.54546,102691903411.45454,100260097121.0,221454545454.54544,212090909090.9091,70169511727.90909,82907277975.0,165181818181.81818,375909090909.0909,34077896196.090908,64472618541.818184,421090909090.9091,421272727272.7273,1008.4983825840003,2014.0,8.166666666666666,9.866666666666667,10.0,7.800000000000001,9.222222222222221,9.644444444444444,10.0,5.622222222222223,7.900000000000001,9.5,8.288888888888888,7.633333333333334
1.0,1.0,391699.1818181818,27982.909090909092,96528518.0,796561905.5454545,3984287116.5454545,8700751318.454546,1469534142.909091,3132068092.2727275,3005922745.3636365,7231217175.545455,4657863266.727273,258939138.1818182,591470101.7272727,5527304779.090909,10213620001.0,897131380.3636364,2304623316.3636365,10965629913.636364,11302527893.272728,289.8484848484848,2014.0,6.288888888888889,6.688888888888889,10.0,8.0,7.210552061495458,9.333333333333334,10.0,8.933333333333334,6.333333333333333,7.0777777777777775,6.166666666666667,8.522222222222222
0.376,0.376,1355554.7272727273,22776.363636363636,97198917.45454545,2406726184.6363635,27768133462.363636,18830724523.454544,5233819181.090909,9702431633.818182,8667000122.636364,13596905342.727272,23459332688.636364,5453946593.090909,11942017262.818182,13514350489.272728,32400781590.454544,2285401707.7272725,2155087028.0,30913357944.272728,32827685640.545456,1176.7426985938564,2014.0,5.855555555555556,7.533333333333333,5.955555555555556,3.5444444444444443,2.588888888888889,4.611111111111111,5.0,6.566666666666666,4.644444444444444,8.944444444444445,7.777777777777778,8.022222222222222
79.20347055363636,79.20347055363636,157883081.27272728,1553.090909090909,32094283263.090908,18566975370.545456,33120728477.0,175931978623.45456,13453631471.09091,71522812036.72728,71522812036.72728,162342486029.72726,46099336465.454544,46796264502.181816,53803187980.36364,64101931732.454544,225909090909.0909,21424302388.454544,35798138606.181816,248181818181.81818,236090909090.9091,320.45863187104675,2014.0,3.2222222222222223,7.433333333333334,5.7555555555555555,6.177777777777778,7.133333333333334,8.066666666666666,1.0333333333333334,8.38888888888889,3.1222222222222222,6.7555555555555555,5.7444444444444445,6.788888888888889
