id,name,duration_ms,popularity,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,format
5XehKCJutge72GlijNcPHW,Seek & Destroy (Live - Seattle '89),541535,31,0.24,0.988,-6.468,1,0.218,8.28e-05,0.0676,0.984,0.0601,150.949,4,2
3AxLlRyXcDcpQN6rp1bpPB,...And Justice for All (Live - Seattle '89),660760,29,0.176,0.982,-6.312,1,0.215,6.33e-06,0.574,0.994,0.0475,173.801,4,2
2U4gF4myhyt8tl8jMeDE3L,One (Live - Seattle '89),567609,32,0.259,0.993,-6.059,0,0.196,0.000121,0.439,0.993,0.054,118.806,4,2
4EcsR2fMms1TXY44F1Yz6v,Creeping Death (Live - Seattle '89),470380,35,0.301,0.993,-5.877,1,0.172,4.2e-06,0.428,0.839,0.0645,115.143,4,2
3Rwo3Td6i5sFSCt8TgOdtv,Guitar Solo (Live - Seattle '89),396196,25,0.169,0.952,-6.852,1,0.149,0.109,0.984,0.595,0.0394,125.995,4,2
4UDYoVoQJpUPQAmWTrcPGF,Battery (Live - Seattle '89),377921,30,0.242,0.993,-6.172,0,0.204,3.14e-05,0.225,0.738,0.0323,105.107,4,2
0cXftlT0QFMtuxUGpohdru,Encore Jam (Live - Seattle '89),169192,22,0.336,0.985,-6.06,1,0.15,6.63e-05,0.197,0.988,0.0399,97.785,4,2
6eM4XIIa25uRIOtP64hlxm,Last Caress (Live - Seattle '89),114058,27,0.233,0.995,-5.929,1,0.131,0.000183,0.406,0.499,0.0542,104.853,4,2
62wvEoiTmI3Y9aQ3i5PTxl,Am I Evil? (Live - Seattle '89),249737,26,0.325,0.992,-5.768,1,0.171,3.31e-05,0.0891,0.737,0.0763,83.923,4,2
1MNAcG8x56GSD8CoQLpJHn,Whiplash (Live - Seattle '89),336602,28,0.119,0.993,-6.122,0,0.303,3.14e-05,0.336,0.996,0.0332,193.069,4,2
5oL2xNJqy4VJeAQyklW0c7,Breadfan (Live - Seattle '89),283564,23,0.281,0.994,-6.152,0,0.179,5.23e-05,0.0954,0.967,0.0388,113.274,4,2
7qRxAH7ZRB2Ita3mebXfR3,Battery (Remastered),312360,51,0.48,0.923,-8.793,0,0.0682,0.000211,0.531,0.106,0.44,96.535,4,1
5cW3DEWYYv0tXZMwcUZNRg,Master Of Puppets (Remastered),515386,53,0.539,0.828,-9.108,0,0.035,0.00067,0.421,0.154,0.562,105.25,4,1
6ZertsLLGL2puI2Vj5iy5T,The Thing That Should Not Be (Remastered),396106,48,0.679,0.716,-10.14,1,0.0313,0.000108,0.349,0.126,0.485,111.827,4,1
5Nu6hybktveVXtgD7hDLVD,Welcome Home (Sanitarium) (Remastered),387146,50,0.309,0.767,-9.676,1,0.033,0.000305,0.151,0.0967,0.413,97.944,4,1
2CbYOuq9uxqclV21HJaJ4B,Disposable Heroes (Remastered),496626,48,0.264,0.931,-7.615,0,0.0928,4.75e-05,0.454,0.0897,0.414,90.246,4,1
6yyionnLDzrrSET4pGoFSX,Leper Messiah (Remastered),339880,47,0.38,0.8,-8.617,1,0.0695,5.19e-05,0.735,0.321,0.574,138.714,4,1
1J6aXHOMNalN2YGLpVAD7e,Orion (Remastered),507226,48,0.367,0.672,-10.014,1,0.0378,0.0013,0.899,0.111,0.382,128.497,4,1
5PZ03nZ4rF3dG1QH7NeXMp,"Damage, Inc. (Remastered)",332466,46,0.366,0.848,-10.575,0,0.157,0.000506,0.476,0.12,0.162,92.172,4,1
